trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,piloting,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,thank_you.started,text_2.started,text_2.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,0.5,2.5,60.93723499996122,,,,,,,,,,60.92076675000135,60.93723499996122,61.437140249996446,61.42054845835082,61.42054845835082,61.7365959166782,62.00354029168375,right,2.5,1,1,0.5751520416233689,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
50,0.5,2.5,62.01928612496704,,,,,,,,,,62.00359162501991,62.01928612496704,62.52055466664024,62.50374487496447,62.50374487496447,62.803832500008866,63.15414412505925,left,-2.5,1,1,0.637945375056006,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
51,0.5,2.0,63.17047775001265,,,,,,,,,,63.154181541642174,63.17047775001265,63.67041441670153,63.653770208358765,63.653770208358765,63.95394287502859,64.15412370837294,right,2.0,1,1,0.4949095416814089,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
52,0.5,2.0,64.17056516662706,,,,,,,,,,64.15415112499613,64.17056516662706,64.67052549996879,64.65388904162683,64.65388904162683,64.95381679164711,65.22067674994469,left,-2.0,1,1,0.5617680832510814,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
53,0.5,2.0,65.23709612502716,,,,,,,,,,65.22070379171055,65.23709612502716,65.73708358337171,65.72045949997846,65.72045949997846,66.02038433332928,66.1696486666333,right,2.0,1,1,0.44416279171127826,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
54,0.5,1.5,66.18715016671922,,,,,,,,,,66.16968837496825,66.18715016671922,66.68708670837805,66.67046429170296,66.67046429170296,66.97043512505479,67.0038480416406,right,1.5,0,0,0.3181493749143556,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
55,0.5,2.0,67.02045420836657,,,,,,,,,,67.0038801250048,67.02045420836657,67.52059891668614,67.50376958330162,67.50376958330162,67.80391429166775,68.33732729172334,left,-2.0,1,1,0.8198087917407975,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
56,0.5,2.0,68.3537365833763,,,,,,,,,,68.33736054168548,68.3537365833763,68.85389058338478,68.83707095833961,68.83707095833961,69.1371872916352,69.3202747083269,left,-2.0,1,1,0.477489750017412,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
57,0.5,2.0,69.33717429172248,,,,,,,,,,69.32029966672417,69.33717429172248,69.83711579162627,69.82052850001492,69.82052850001492,70.120459333295,70.43658887501806,left,-2.0,1,1,0.5999814999522641,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
58,0.5,1.5,70.45386825001333,,,,,,,,,,70.43662149994634,70.45386825001333,70.95380066661164,70.93718504172284,70.93718504172284,71.2364688749658,71.63728137500584,left,-1.5,1,1,0.6893249166896567,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
